trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
298,False,"{'a': 0.5, 'e': 0.16539749769046683}",25,0,40.00476602084919,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
299,False,"{'a': 0.5, 'e': 0.16440511270432404}",20,0,28.487772649527315,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
300,False,"{'a': 0.5, 'e': 0.1634186820280981}",20,4,24.91367198908109,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.1624381699359295}",20,11,16.227524456795905,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.1614635409163139}",20,13,12.550914864432897,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.16049475967081603}",30,17,20.999599425805915,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.15953179111279114}",30,10,31.77987160496388,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.15857460036611437}",20,0,34.388029456719906,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
306,False,"{'a': 0.5, 'e': 0.1576231527639177}",25,0,39.94837806297535,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
307,False,"{'a': 0.5, 'e': 0.1566774138473342}",25,7,33.185003758566104,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.5, 'e': 0.15573734936425018}",20,0,26.511844999839454,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
309,False,"{'a': 0.5, 'e': 0.1548029252680647}",25,10,24.66051917274408,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.1538741077164563}",20,10,17.66455110530406,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.5, 'e': 0.15295086307015757}",30,18,18.212713995272104,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.1520331578917366}",25,8,30.020562076303847,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.5, 'e': 0.15112095894438618}",25,6,36.17334472902591,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.5, 'e': 0.15021423319071986}",25,13,20.158069023757573,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.5, 'e': 0.14931294779157556}",20,13,13.77934795462373,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.5, 'e': 0.1484170701048261}",20,6,22.478191445860283,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.14752656768419714}",25,10,21.0087370034965,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.14664140827809197}",25,11,20.766726585246687,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.1457615598284234}",20,12,13.404894131672068,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
